location,latitude,longitude
Mount Sion,52.2557189,-7.1145025
Lower Holloway,51.5544402,-0.1148807
Soho,51.5140654,-0.13504939999999999
Mountain Ash,51.6821033,-3.3764418
Crawley,51.1103444,-0.1801094
Glastry,54.483333,-5.483333
London,51.4893335,-0.1440551
Llanarmon Dyffryn ...,52.8845606,-3.238418
Clapham,51.4614469,-0.138627
Peaslake,51.1916244,-0.4464771
Nebsworth,52.0816049,-1.7121165
Ringboy,54.2458024,-5.7009278
Canonbury,51.5423339,-0.0914333
Bardowie,55.933164,-4.2687363
Pen-Y-Bryn,52.9728756,-3.4723308
Ton-Teg,51.5673003,-3.3061642
Orford,52.0949765,1.5344399
Peartree Green,50.9037457,-1.3790567
Knockbog,57.5794657,-2.783669
Whitehead,54.752288,-5.7095043
South Lambeth,51.4989328,-0.1120142
Quags Corner,50.98572,-0.774235
Monks Kirby,52.4443994,-1.3166666
Northumberland Hea...,54.9159348,-2.2979919
Ballygowan,54.5018813,-5.7918013
Pencombe,52.1715573,-2.5880184
Polesworth,52.6258348,-1.6107049
Nether Whitacre,52.5336597,-1.6603787
High Gallowhill,55.8445894,-4.430768
Mousley End,52.3231174,-1.6875805
Leeds,53.7974185,-1.5437941
Colston,55.8984135,-4.2365661
Pen-Y-Rhiw,51.8343982,-3.155237
Lenzie,55.9213422,-4.1539264
Moreton Paddox,52.1878758,-1.5539013
Rugby,52.3726682,-1.2620038
Kilroot,54.726551,-5.7692322
Peasmarsh,50.9742747,0.6768528
Newbold-On-Stour,52.1145861,-1.6400434
Edinburgh,55.9533456,-3.1883749
Oxgang,53.9227777,-0.324683
Oxshott,51.3361004,-0.3625418
Pontfadog,52.9347991,-3.1407356
Penrhos,51.8009558,-2.8494736
Brixton,51.4633914,-0.1148023
Morton Bagot,52.2803947,-1.8377381
Penywaun,51.7308006,-3.4846295
Pentonville,51.5321048,-0.1148938
Otley,53.9055083,-1.6938874
Pipe And Lyde,52.0920628,-2.7157451
Norton Canon,52.1217864,-2.9060655
Royal Leamington S...,52.2884656,-1.5370199
Occold,52.2921826,1.1595123
Ton Pentre,51.6475962,-3.4884059
Upper Boat,51.5741526,-3.2867957
Lennoxtown,55.9731494,-4.1992427
Pitch Place,51.2646169,-0.5973849
Peper Harow,51.1888456,-0.6648798
Barnehurst,51.4650212,0.1596467
Drumhirk,53.953778,-7.236077
South Cornelly,51.5106458,-3.7017001
Pipe Aston,52.3432258,-2.7918256
Streatham Park,51.4249832,-0.1452011
Broadford,57.2410146,-5.9061803
North Cornelly,51.5214781,-3.7026884
Barnes Cray,51.4553884,0.1936238
Moycroft,57.6491424,-3.2925175
Lower Auchenreath,57.6603292,-3.0528593
Exeter,50.7256138,-3.5269209
Pandy,52.6266098,-3.6191026
Pant-Y-Pyllau,52.3622273,-3.4976969
Marford,53.0911459,-2.9600738
Ipswich,52.0579324,1.1528095
Oldhall Green,55.851741,-4.4091762
Pont-Y-Rhyl,51.591762,-3.5787022
Slade Green,51.4676731,0.1903098
Monks Eleigh,52.0920401,0.8694358
Clapham Park,51.4562426,-0.1318354
Ynysybwl,51.6387679,-3.3590171
Findochty,57.6977626,-2.9030377
Streatham,51.429769,-0.1311105
Plough Hill,51.520972,-1.7280827
Bellahill,56.6884922,-2.7581861
Stranmillis,54.5701181,-5.9350016
Millisle,54.60782,-5.5284632
Llwynmawr,52.9251076,-3.1579074
Porth,50.3494152,-4.7050945
Banstead,51.3238969,-0.1986813
Furzedown,51.424389,-0.1537022
Staines,51.434012,-0.511044
Penrhys,51.6448998,-3.4423189
Millersneuk,55.9209746,-4.1514319
Pontrilas,51.9442213,-2.8778574
Marchwiel,53.0234574,-2.9598927
Balmoral,57.0406914,-3.2301053
Poolmill,50.6259461,-3.6880799
Nether Dallachy,57.6603208,-3.0734293
Islington,51.5384287,-0.0999051
Foots Cray,51.4186732,0.1180187
Whiterock,54.4815501,-5.6470077
Cultra,54.6523133,-5.8049808
Waun Y Gilfach,51.5816987,-3.6630988
Newbold Pacey,52.2120064,-1.5667409
Burgess Hill,50.9575365,-0.1332853
Pen-Rhos,53.0731151,-3.0728715
Brompton,54.3617085,-1.4237114
Nutfield,51.2268501,-0.1345793
Pant-Yr-Awel,53.2026932,-3.4615353
Wig Fach,51.492277,-3.6607318
East Grinstead,51.1285649,-0.0142988
Pyecombe,50.8969893,-0.1605507
Guildford,51.2356068,-0.5732063
Milton Of Campsie,55.962501,-4.1617181
Erith,51.480819,0.1792322
Bar Hall,54.33801,-5.5079063
Lintmill,55.5159963,-2.5996994
Ardkeen,52.7731602,-7.9158815
